person_name,img_name,gcp_path,img_path
Abdel_Nasser_Assidi,Abdel_Nasser_Assidi_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg
Abdullah_Gul,Abdullah_Gul_0012.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Abdullah_Gul/Abdullah_Gul_0012.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Abdullah_Gul/Abdullah_Gul_0012.jpg
Abdullah_al-Attiyah,Abdullah_al-Attiyah_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0001.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0001.jpg
Adel_Al-Jubeir,Adel_Al-Jubeir_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Adel_Al-Jubeir/Adel_Al-Jubeir_0002.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Adel_Al-Jubeir/Adel_Al-Jubeir_0002.jpg
Ai_Sugiyama,Ai_Sugiyama_0003.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg
Aitor_Gonzalez,Aitor_Gonzalez_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Aitor_Gonzalez/Aitor_Gonzalez_0002.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Aitor_Gonzalez/Aitor_Gonzalez_0002.jpg
Al_Gore,Al_Gore_0008.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Al_Gore/Al_Gore_0008.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Al_Gore/Al_Gore_0008.jpg
Albert_Costa,Albert_Costa_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Albert_Costa/Albert_Costa_0002.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Albert_Costa/Albert_Costa_0002.jpg
Alberto_Fujimori,Alberto_Fujimori_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Alberto_Fujimori/Alberto_Fujimori_0002.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Alberto_Fujimori/Alberto_Fujimori_0002.jpg
Alex_Barros,Alex_Barros_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Alex_Barros/Alex_Barros_0001.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Alex_Barros/Alex_Barros_0001.jpg
Alex_Sink,Alex_Sink_0001.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Alex_Sink/Alex_Sink_0001.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Alex_Sink/Alex_Sink_0001.jpg
Alexandra_Stevenson,Alexandra_Stevenson_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Alexandra_Stevenson/Alexandra_Stevenson_0002.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Alexandra_Stevenson/Alexandra_Stevenson_0002.jpg
Ali_Khamenei,Ali_Khamenei_0003.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Ali_Khamenei/Ali_Khamenei_0003.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Ali_Khamenei/Ali_Khamenei_0003.jpg
Ali_Naimi,Ali_Naimi_0005.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Ali_Naimi/Ali_Naimi_0005.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Ali_Naimi/Ali_Naimi_0005.jpg
Alimzhan_Tokhtakhounov,Alimzhan_Tokhtakhounov_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Alimzhan_Tokhtakhounov/Alimzhan_Tokhtakhounov_0002.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Alimzhan_Tokhtakhounov/Alimzhan_Tokhtakhounov_0002.jpg
Allison_Janney,Allison_Janney_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Allison_Janney/Allison_Janney_0002.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Allison_Janney/Allison_Janney_0002.jpg
Alvaro_Silva_Calderon,Alvaro_Silva_Calderon_0003.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Alvaro_Silva_Calderon/Alvaro_Silva_Calderon_0003.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Alvaro_Silva_Calderon/Alvaro_Silva_Calderon_0003.jpg
Amanda_Coetzer,Amanda_Coetzer_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Amanda_Coetzer/Amanda_Coetzer_0002.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Amanda_Coetzer/Amanda_Coetzer_0002.jpg
Amber_Tamblyn,Amber_Tamblyn_0002.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Amber_Tamblyn/Amber_Tamblyn_0002.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Amber_Tamblyn/Amber_Tamblyn_0002.jpg
Amelie_Mauresmo,Amelie_Mauresmo_0015.jpg,gs://original-datasets-pesquisa/face/LFW/lfw/lfw/Amelie_Mauresmo/Amelie_Mauresmo_0015.jpg,/home/guilherme/projects/parai/app/data/images/lfw/Amelie_Mauresmo/Amelie_Mauresmo_0015.jpg
